pano_filename,pano_abs_path,pano_latitude,pano_longitude,pano_true_heading,BLD_ID,bld_height,bld_elevation,bld_source_dataset,bld_capture_date,bld_status,distance_to_centroid_m,desired_camera_yaw_to_facade,bld_centroid_lon,bld_centroid_lat,facade_edge_lon1,facade_edge_lat1,facade_edge_lon2,facade_edge_lat2
VID_20250327_120940_20250507131706_0_000061.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000061.jpg,34.1929256,-118.1481743,200.18,516815892690,17.15,1311.04,LARIAC2,2008,Unchanged,30.524093626474308,325.16316120943725,-118.1483265615972,34.19311422528592,-118.14837620734,34.1931409009192,-118.148361680712,34.1931729591736
VID_20250327_120940_20250507131706_0_000062.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000062.jpg,34.1928956,-118.1481878,200.68,516936892574,15.99,1307.32,LARIAC2,2008,Unchanged,33.61102018494277,118.24042984497316,-118.14791833183446,34.19278294214327,-118.14786143085,34.1927689191599,-118.147875001112,34.1927383190102
VID_20250327_120940_20250507131706_0_000067.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000067.jpg,34.1927435,-118.1482567,200.18,516769892573,18.95,1306.35,LARIAC2,2008,Unchanged,29.73648465532034,289.04364779651365,-118.14851400300537,34.19280287191622,-118.148640998112,34.1928126166354,-118.14860799125,34.192884404689
VID_20250327_120940_20250507131706_0_000068.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000068.jpg,34.192713,-118.1482703,201.1,516769892573,18.95,1306.35,LARIAC2,2008,Unchanged,29.703012567853285,294.82238467234953,-118.14851400300537,34.19280287191622,-118.148640998112,34.1928126166354,-118.14860799125,34.192884404689
VID_20250327_120940_20250507131706_0_000069.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000069.jpg,34.1926823,-118.1482841,200.68,516769892573,18.95,1306.35,LARIAC2,2008,Unchanged,30.303364943521142,300.55450307432795,-118.14851400300537,34.19280287191622,-118.148640998112,34.1928126166354,-118.14860799125,34.192884404689
VID_20250327_120940_20250507131706_0_000070.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000070.jpg,34.1926516,-118.1482983,200.68,516763892532,19.6,1304.46,LARIAC2,2008,Unchanged,26.45926958352854,271.67847275195595,-118.14853574701118,34.192660444820966,-118.148627689883,34.1926366873519,-118.148606672026,34.1926819700661
VID_20250327_120940_20250507131706_0_000072.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000072.jpg,34.1925889,-118.1483251,202.01,516763892532,19.6,1304.46,LARIAC2,2008,Unchanged,25.348990381806836,292.7503650879662,-118.14853574701118,34.192660444820966,-118.148599889601,34.1926798075096,-118.148596365179,34.1926873964254
VID_20250327_120940_20250507131706_0_000073.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000073.jpg,34.1925589,-118.1483406,203.8,516728892479,15.5,1297.09,LARIAC2,2008,Unchanged,30.11261046426406,265.18453038556356,-118.14860869471417,34.19252909012179,-118.148705650799,34.1925170862978,-118.148689937432,34.1925509319849
VID_20250327_120940_20250507131706_0_000075.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000075.jpg,34.1924981,-118.1483705,201.58,516885892440,18.65,1302.54,LARIAC2,2008,Unchanged,33.60241985401176,102.79879223933006,-118.14807715226142,34.192439238462676,-118.14801310966,34.1924477000252,-118.148027869719,34.1924169604681
VID_20250327_120940_20250507131706_0_000075.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000075.jpg,34.1924981,-118.1483705,201.58,516763892532,19.6,1304.46,LARIAC2,2008,Unchanged,28.561255031114268,321.44098324003505,-118.14853574701118,34.192660444820966,-118.148585148325,34.1926838103875,-118.148561957022,34.1927337954484
VID_20250327_120940_20250507131706_0_000076.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000076.jpg,34.1924683,-118.1483855,203.34,516885892440,18.65,1302.54,LARIAC2,2008,Unchanged,34.5472195710178,96.79390546311527,-118.14807715226142,34.192439238462676,-118.14801310966,34.1924477000252,-118.148027869719,34.1924169604681
VID_20250327_120940_20250507131706_0_000076.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000076.jpg,34.1924683,-118.1483855,203.34,516763892532,19.6,1304.46,LARIAC2,2008,Unchanged,30.796656135506232,327.10675947673866,-118.14853574701118,34.192660444820966,-118.148585148325,34.1926838103875,-118.148561957022,34.1927337954484
VID_20250327_120940_20250507131706_0_000077.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000077.jpg,34.1924384,-118.1484015,206.57,516728892479,15.5,1297.09,LARIAC2,2008,Unchanged,26.09506236241853,297.3636571214676,-118.14860869471417,34.19252909012179,-118.148704793012,34.1925556945467,-118.148695075763,34.1925766184214
VID_20250327_120940_20250507131706_0_000079.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000079.jpg,34.1923823,-118.1484338,205.83,516728892479,15.5,1297.09,LARIAC2,2008,Unchanged,27.736569370663613,314.68703926429765,-118.14860869471417,34.19252909012179,-118.14868005404,34.1925717731218,-118.148671982847,34.1925891762932
VID_20250327_120940_20250507131706_0_000080.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000080.jpg,34.1923548,-118.1484503,208.26,516728892479,15.5,1297.09,LARIAC2,2008,Unchanged,29.344412676959802,320.3986069398343,-118.14860869471417,34.19252909012179,-118.14868005404,34.1925717731218,-118.148671982847,34.1925891762932
VID_20250327_120940_20250507131706_0_000082.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000082.jpg,34.1923006,-118.1484838,208.57,516685892435,17.22,1295.24,LARIAC2,2008,Unchanged,29.10765524575387,297.4760017346355,-118.14871808940434,34.19239663370851,-118.148818908943,34.1923869722864,-118.148775464595,34.1924838331034
VID_20250327_120940_20250507131706_0_000082.jpg,/home/fuad/Work/Projects/pano_process/output/01_sampled_images/VID_20250327_120940_20250507131706.mp4/VID_20250327_120940_20250507131706_0_000082.jpg,34.1923006,-118.1484838,208.57,516728892479,15.5,1297.09,LARIAC2,2008,Unchanged,33.74745796196966,334.97727621618986,-118.14860869471417,34.19252909012179,-118.148583419324,34.1924742045831,-118.148581937624,34.1924774212652
